Final,Categoria,Pista,Piloto,Equipe,Pole,Best Lap,Hat-Trick,Chelem,Piloto Campeao,Construtores,Liga,Temporada,Ano,,,Link Transmissao
2008-3,,,,,,,,,,,,,,,,
2,RT3,Curitiba,Carlos Junior,Grip Racing,-,-,-,-,-,SIM,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Curitiba,#N/A
3,RT3,Curitiba,Carlos Cunha,Grip Racing,-,-,-,-,-,TIME,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Curitiba,#N/A
6,RT3,Curitiba,Rodrigo Wizard,Grip Racing,-,-,-,-,-,TIME,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Curitiba,#N/A
DNS,RT3,Curitiba,Gus Scherer,Grip Racing,-,-,-,-,-,TIME,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Curitiba,#N/A
2,RT3,Norisring,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Norisring,#N/A
3,RT3,Norisring,Carlos Junior,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Norisring,#N/A
7,RT3,Norisring,Rodrigo Wizard,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Norisring,#N/A
17,RT3,Norisring,Gus Scherer,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Norisring,#N/A
2,RT3,Melbourne,Carlos Junior,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Melbourne,#N/A
3,RT3,Melbourne,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Melbourne,#N/A
8,RT3,Melbourne,Rodrigo Wizard,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Melbourne,#N/A
2,RT3,New Hampshire,Carlos Junior,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/New Hampshire,#N/A
4,RT3,New Hampshire,Carlos Cunha,Grip Racing,-,SIM,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/New Hampshire,#N/A
9,RT3,New Hampshire,Rodrigo Wizard,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/New Hampshire,#N/A
DNS,RT3,New Hampshire,Gus Scherer,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/New Hampshire,#N/A
2,RT3,Taruma,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Taruma,#N/A
4,RT3,Taruma,Carlos Junior,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Taruma,#N/A
12,RT3,Taruma,Gus Scherer,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Taruma,#N/A
DNF,RT3,Taruma,Rodrigo Wizard,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Taruma,#N/A
3,RT3,Snetterton,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Snetterton,#N/A
4,RT3,Snetterton,Carlos Junior,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Snetterton,#N/A
10,RT3,Snetterton,Rodrigo Wizard,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Snetterton,#N/A
3,RT3,Adelaide,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Adelaide,#N/A
9,RT3,Adelaide,Gus Scherer,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Adelaide,#N/A
10,RT3,Adelaide,Rodrigo Wizard,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Adelaide,#N/A
3,RT3,Interlagos,Rodrigo Wizard,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Interlagos,#N/A
4,RT3,Interlagos,Carlos Junior,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Interlagos,#N/A
9,RT3,Interlagos,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Interlagos,#N/A
10,RT3,Interlagos,Gus Scherer,Grip Racing,-,-,-,-,-,-,F1BC,2008-3,2008,RT3/F1BC/2008-3,RT3/F1BC/2008-3/Interlagos,#N/A
2009/1,,,,,,,,,,,,,,,,
5,Turismo Pro,Curitiba,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2009-1,2009,Turismo Pro/F1BC/2009-1,Turismo Pro/F1BC/2009-1/Curitiba,#N/A
6,Turismo Pro,New Hampshire,Carlos Cunha,Grip Racing,-,-,-,-,-,-,F1BC,2009-1,2009,Turismo Pro/F1BC/2009-1,Turismo Pro/F1BC/2009-1/New Hampshire,#N/A
15,Turismo Pro,New Hampshire,Cassius Naves,Grip Racing,-,-,-,-,-,-,F1BC,2009-1,2009,Turismo Pro/F1BC/2009-1,Turismo Pro/F1BC/2009-1/New Hampshire,#N/A
DNS,Turismo Pro,New Hampshire,Gus Scherer,Grip Racing,-,-,-,-,-,-,F1BC,2009-1,2009,Turismo Pro/F1BC/2009-1,Turismo Pro/F1BC/2009-1/New Hampshire,#N/A
