Piloto,Títulos,Construtores,Tot. Títulos,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Estreia,Ultima,Etapas por DNF/DQ,Etapas Por Pódio,Etapas Por Vitória
Joao Augusto,1,11,12,325,68,20,22,26,120,200,14,21,57,2,2015/2,2022/4,5.51,4.78,16.25
Rodrigo de Sousa,5,9,14,295,92,31,29,32,124,199,30,29,15,0,2018/1,2023/2,19.67,3.21,9.52
Sandro Goulart,0,4,4,274,17,0,10,7,44,120,0,3,52,2,2016/2,2023/3,5.07,16.12,N/A
Marcelo Eduardo,3,4,7,258,53,15,21,17,92,177,7,7,33,0,2019/1,2023/3,7.82,4.87,17.2
Charles Zimmermann,6,9,15,253,84,35,25,24,126,184,51,39,38,0,2016/2,2022/1,6.66,3.01,7.23
Augusto Maia,2,4,6,210,33,5,14,14,57,117,4,3,66,2,2016/2,2021/1,3.09,6.36,42
Matheus Saliba,6,4,10,180,82,38,27,17,103,133,21,31,27,3,2019/2,2023/3,6,2.2,4.74
Fred Quintao,8,10,18,179,67,23,24,20,83,128,19,27,33,0,2019/2,2023/1,5.42,2.67,7.78
Daniel Paulo,0,0,0,163,0,0,0,0,3,32,0,0,50,3,2013/2,2022/3,3.08,N/A,N/A
Luis Almeida,5,5,10,160,60,29,16,15,89,129,22,36,15,0,2020/3,2023/3,10.67,2.67,5.52
Fernando Horta,3,3,6,139,34,13,12,9,59,94,13,8,19,0,2017/3,2022/1,7.32,4.09,10.69
Matheus Beraldo,4,5,9,155,72,30,27,15,93,123,27,13,7,0,2018/2,2023/1,22.14,2.15,5.17
Pablo Cenjor,6,4,10,135,53,10,17,26,67,92,5,8,3,0,2021/2,2023/3,45,2.55,13.5
Celso Andriani,0,4,4,129,16,5,7,4,32,78,2,4,32,2,2016/2,2020/2,3.79,8.06,25.8
Ader Fernando,1,2,3,127,15,5,5,5,34,69,1,0,24,0,2021/1,2023/2,5.29,8.47,25.4
Ricardo Lampert,0,2,2,124,10,3,4,3,27,56,3,3,27,3,2011/3,2014/2,4.13,12.4,41.33
Adelar de Vargas,0,0,0,122,5,0,2,3,8,33,0,1,60,1,2014/2,2020/3,2,24.4,N/A
Flavio Felicio,2,8,10,142,25,7,11,7,36,60,6,4,19,0,2020/3,2023/2,7.47,5.68,20.29
Guilherme Fargnolli,1,5,6,121,28,8,11,9,49,81,12,11,19,1,2012/1,2019/1,6.05,4.32,15.13
Matheus Araujo,2,2,4,120,34,11,10,13,58,81,7,5,14,0,2010/2,2022/3,8.57,3.53,10.91
Jorge Pezzolo,0,3,3,113,16,6,3,7,33,62,10,6,15,3,2012/1,2016/1,6.28,7.06,18.83
Henrique Bettega,0,0,0,111,1,0,0,1,10,44,0,0,16,0,2017/2,2023/2,6.94,111,N/A
Bruno Barbugli,1,0,1,104,33,16,13,4,40,63,21,26,27,2,2012/2,2014/1,3.59,3.15,6.5
Andre Kimi,1,2,3,103,20,12,4,4,34,69,2,12,18,0,2013/2,2015/3,5.72,5.15,8.58
Gustavo Sugari,1,1,2,99,22,4,9,9,39,76,1,7,4,0,2020/2,2023/3,24.75,4.5,24.75
Rodrigo Wizard,0,2,2,94,17,4,6,7,25,52,4,4,13,3,2008/3,2013/1,5.88,5.53,23.5
Leandro Daminelli,1,0,1,94,21,7,5,9,26,44,6,4,9,1,2018/1,2023/1,9.4,4.48,13.43
