RESUMO,Títulos,Construtores,Participações,Podios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Campeonatos,Etapas
Total,97,69,9166,1726,581,585,560,2723,4868,495,509,1821,119,559,3082
Temporada,Títulos,Construtores,Participações,Podios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Campeonatos,Etapas
2008/3,0,1,29,11,0,5,6,15,24,0,1,1,0,1,8
2009/1,0,0,14,1,1,0,0,4,8,1,0,0,1,1,10
2009/2,1,1,100,20,7,6,7,28,48,3,4,25,1,3,30
2009/3,0,0,84,5,3,2,0,10,25,3,2,16,8,4,36
2010/1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
2010/2,0,0,37,5,2,2,1,12,16,0,2,9,0,3,21
2010/3,0,0,68,5,1,2,2,11,25,0,3,23,4,7,37
2011/1,0,0,71,6,1,1,4,15,35,2,3,18,2,9,43
2011/2,0,0,19,1,1,0,0,2,3,0,0,11,0,5,13
2011/3,0,0,32,0,0,0,0,1,7,0,0,11,1,5,22
2012/1,1,1,139,15,4,6,5,23,51,3,2,28,8,9,51
2012/2,0,0,148,15,3,4,8,18,48,6,5,29,11,13,73
2012/3,0,0,139,21,9,7,5,30,61,11,12,37,4,12,67
2013/1,1,0,211,27,5,9,13,50,91,15,12,55,9,11,72
2013/2,1,2,313,52,16,18,18,93,169,16,14,73,5,13,84
2013/3,2,1,337,45,14,14,17,74,159,20,20,87,9,12,78
2014/1,2,1,286,43,18,13,12,77,151,14,21,58,2,13,83
2014/2,2,2,234,43,18,17,8,84,155,19,19,44,4,8,52
2014/3,0,2,128,30,12,7,11,45,77,4,7,29,2,7,45
2015/1,2,2,144,25,12,5,8,42,71,7,9,33,0,8,42
2015/2,1,1,174,12,1,8,3,22,65,6,6,47,0,7,49
2015/3,3,1,165,24,6,9,9,39,80,4,8,35,10,8,47
2016/1,4,2,239,43,20,11,12,71,123,20,16,75,1,12,72
2016/2,1,1,238,29,12,9,8,48,92,12,13,87,4,10,58
2016/3,4,3,262,54,21,20,13,92,155,21,20,61,5,12,78
2017/1,0,1,170,27,5,12,10,46,89,5,6,45,1,10,50
2017/2,1,2,210,32,7,10,15,60,115,0,9,49,7,11,71
2017/3,1,2,213,26,6,8,12,49,90,2,5,77,2,13,71
2018/1,1,2,234,20,6,9,5,38,95,5,6,54,2,18,84
2018/2,0,1,205,22,7,5,10,46,100,5,4,51,1,13,74
2018/3,1,1,253,41,9,20,12,68,136,4,6,63,7,20,78
2019/1,0,0,264,29,4,8,17,69,143,5,17,70,1,15,78
2019/2,5,4,297,90,25,47,18,114,170,30,7,62,2,20,102
2019/3,5,1,290,57,28,20,9,87,152,34,25,83,2,20,103
2020/1,2,3,313,71,26,22,23,108,192,23,18,70,2,20,97
2020/2,2,2,163,39,16,13,10,61,104,10,12,41,1,12,56
2020/3,9,8,405,104,44,29,31,149,248,43,36,41,0,27,155
2021/1,5,4,334,68,18,22,28,117,217,14,16,28,0,21,97
2021/2,6,5,327,72,16,27,29,118,209,19,17,21,0,17,104
2021/3,5,3,414,111,36,38,37,175,285,29,35,26,0,25,142
2022/1,4,1,218,60,29,11,20,103,158,18,20,22,0,16,73
